id,brand,name,nameEn,colorFamily,hexColor,capacityMl,inkType
ink_w001,글입다,유리알 유희,,,#C3B3CA,,shimmer
ink_w002,글입다,홀로 아득한 매화 향기,,,#CD8FAD,,normal
ink_w003,글입다,떠도는 구름,,,#B25A79,,normal
ink_w004,글입다,키다리 아저씨,,,#C4738D,,shimmer
ink_w005,글입다,카르밀라,,,#C06A6E,,normal
ink_w006,글입다,봄바람의 고민,,,#DD7270,,shimmer
ink_w007,글입다,줄리엣,,,#E46363,,shimmer
ink_w008,글입다,꽃의 귀양,,,#BC4D52,,normal
ink_w009,글입다,놓인 그 꽃,,,#914E63,,normal
ink_w010,글입다,체셔 캣,,,#771F62,,normal
ink_w011,글입다,박제가 되어버린 천재,,,#5F1838,,sheen
ink_w012,글입다,오만과 편견,,,#700227,,sheen
ink_w013,글입다,안나 카레니나,,,#601630,,shimmer
ink_w014,글입다,드라큘라,,,#8E2137,,shimmer
ink_w015,글입다,장미의 요정,,,#922445,,shimmer
ink_w016,글입다,젊은 왕,,,#932447,,shimmer
ink_w017,글입다,헨리 지킬,,,#6C2C39,,normal
ink_w018,글입다,빨간 구두,,,#B6243C,,normal
ink_w019,글입다,빨간머리 앤,,,#C11A2B,,sheen
ink_w020,글입다,주홍색 연구,,,#6C0505,,normal
ink_w021,글입다,납치당한 산타클로스,,,#6C181F,,shimmer
ink_w022,글입다,제천대성,,,#7F332A,,shimmer
ink_w023,글입다,퀸 오브 하트,,,#753535,,shimmer
ink_w024,글입다,페르온 소브 에페란토,,,#752C37,,normal
ink_w025,글입다,후크 선장,,,#690D1F,,normal
ink_w026,글입다,인간문제,,,#551E26,,normal
ink_w027,글입다,1984,,,#27120B,,shimmer
ink_w028,글입다,바스커빌가의 개,,,#471A1B,,sheen
ink_w029,글입다,변신,,,#4A2025,,sheen
ink_w030,글입다,오셀로,,,#594848,,shimmer
ink_w031,글입다,아누비스,,,#514240,,shimmer
ink_w032,글입다,돈키호테,,,#614446,,normal
ink_w033,글입다,연옥,,,#8C6265,,normal
ink_w034,글입다,석공의 노래,,,#9C877C,,normal
ink_w035,글입다,제미나,,,#A18C80,,shimmer
ink_w036,글입다,봄감자,,,#AC966C,,normal
ink_w037,글입다,갈잎의 노래,,,#917247,,normal
ink_w038,글입다,나이팅게일과 장미,,,#8C6749,,shimmer
ink_w039,글입다,착,,,#B37751,,shimmer
ink_w040,글입다,화이트 래빗,,,#DBA995,,normal
ink_w041,글입다,제페토,,,#CD6D5B,,normal
ink_w042,글입다,별아이,,,#B76635,,shimmer
ink_w043,글입다,건축무한육면각체,,,#843F39,,sheen
ink_w044,글입다,장난감 병정,,,#74383E,,normal
ink_w045,글입다,이방인,,,#9E4C2B,,shimmer
ink_w046,글입다,겁쟁이 사자,,,#734737,,normal
ink_w047,글입다,싯다르타,,,#C34C2C,,normal
ink_w048,글입다,헤임달,,,#DA5B0B,,normal
ink_w049,글입다,경희,,,#C3660D,,normal
ink_w050,글입다,별과 꽃 사이,,,#FA991A,,normal
ink_w051,글입다,별빛이 나린 언덕,,,#D69528,,shimmer
ink_w052,글입다,산시로,,,#D88D18,,normal
ink_w053,글입다,레일라,,,#E8A852,,shimmer
ink_w054,글입다,프시케 폴리,,,#B78E57,,shimmer
ink_w055,글입다,풀섶 이슬,,,#B8C154,,normal
ink_w056,글입다,허수아비,,,#58411C,,normal
ink_w057,글입다,도정,,,#8B6E25,,shimmer
ink_w058,글입다,팅커벨,,,#B2B591,,shimmer
ink_w059,글입다,순수의 시대,,,#B0AD9F,,normal
ink_w060,글입다,피터 팬,,,#6D7653,,normal
ink_w061,글입다,톰 소여의 모험,,,#6B7B62,,normal
ink_w062,글입다,매드 해터,,,#607058,,normal
ink_w063,글입다,천년 뒤 이 가을 밤,,,#5B554D,,shimmer
ink_w064,글입다,죄와 벌,,,#474E3A,,sheen
ink_w065,글입다,흘러가는 잎,,,#54623A,,shimmer
ink_w066,글입다,비밀의 화원,,,#607D57,,shimmer
ink_w067,글입다,타피오,,,#7DA16F,,normal
ink_w068,글입다,바유,,,#77A28A,,normal
ink_w069,글입다,잎새에 이는 바람,,,#4B765D,,normal
ink_w070,글입다,피노키오,,,#55B880,,shimmer
ink_w071,글입다,희망의 정수박이,,,#149781,,normal
ink_w072,글입다,수레바퀴 아래서,,,#27462F,,normal
ink_w073,글입다,한 줄의 참회록,,,#3B6C6C,,normal
ink_w074,글입다,한여름 밤의 꿈,,,#165452,,shimmer
ink_w075,글입다,틱톡 크록,,,#086560,,normal
ink_w076,글입다,카라마조프가의 형제들,,,#3F2D38,,sheen
ink_w077,글입다,누구를 위하여 종은 울리나,,,#1A242E,,sheen
ink_w078,글입다,13인의 아해,,,#354043,,sheen
ink_w079,글입다,Mature,,,#1D3243,,normal
ink_w080,글입다,노인과 바다,,,#416982,,shimmer
ink_w081,글입다,행인,,,#1A6075,,shimmer
ink_w082,글입다,운디네,,,#366A7E,,normal
ink_w083,글입다,Lost,,,#276B86,,normal
ink_w084,글입다,로빈슨 크루소,,,#019DA9,,normal
ink_w085,글입다,부활,,,#6DADB3,,normal
ink_w086,글입다,이슬 젖은 별빛,,,#6AA7A7,,shimmer
ink_w087,글입다,인어공주,,,#76ACB6,,shimmer
ink_w088,글입다,애너벨 리,,,#568798,,shimmer
ink_w089,글입다,응앙응앙,,,#90ADBA,,shimmer
ink_w090,글입다,백야,,,#9EB4B7,,shimmer
ink_w091,글입다,앨리스,,,#72B4D0,,shimmer
ink_w092,글입다,웬디 달링,,,#B0CBF2,,shimmer
ink_w093,글입다,물 먹은 별,,,#889CD1,,shimmer
ink_w094,글입다,소공자,,,#5E6BBB,,shimmer
ink_w095,글입다,엔키,,,#80A0D8,,shimmer
ink_w096,글입다,환웅,,,#728294,,normal
ink_w097,글입다,천국,,,#9FB4CB,,shimmer
ink_w098,글입다,모비딕,,,#7A8FAE,,normal
ink_w099,글입다,Hope,,,#6A7BA0,,normal
ink_w100,글입다,행복한 왕자,,,#5C668C,,shimmer
ink_w101,글입다,몽테크리스토 백작,,,#222778,,shimmer
ink_w102,글입다,이아로스 오르나 에페란토,,,#3B3F84,,shimmer
ink_w103,글입다,해저 2만 리,,,#284A8A,,shimmer
ink_w104,글입다,세드나,,,#245F86,,normal
ink_w105,글입다,칠색 바다,,,#263E67,,sheen
ink_w106,글입다,오페라의 유령,,,#382148,,sheen
ink_w107,글입다,계절이 지나가는 하늘,,,#1C3F5F,,normal
ink_w108,글입다,도로시,,,#455471,,normal
ink_w109,글입다,마음,,,#69708B,,normal
ink_w110,글입다,이반 일리치의 죽음,,,#6E7A89,,shimmer
ink_w111,글입다,급류,,,#466177,,normal
